epoch,loss,loss_contrastive,loss_feature,loss_sim
1,0.017798782930578613,1.5652850571514465,0.01757646732841197,0.0004133255927701866
2,0.0036163934377063454,1.5593112986914965,0.002824588153999867,0.0015524243498861114
3,0.0030080492326364787,1.5587422316815673,0.0022363512723545666,0.001512221073341027
4,0.002891968984781828,1.5584208494474907,0.002101883818303198,0.0015490019093306751
5,0.0026857555731527264,1.5583186451555873,0.0019287501882743828,0.0014828443969718693
6,0.002600127751651105,1.5580448830972056,0.0018482899394904858,0.0014725147398969378
7,0.0024449050587619847,1.5580306112551603,0.0017162367407277804,0.0014261760336857308
8,0.0023766271725279087,1.5576965682217483,0.0016535588416873531,0.0014149827299452871
9,0.0022249926049469123,1.5574988523165003,0.0015257364036241436,0.0013673624360533085
10,0.002149721485700141,1.5571462723101173,0.0014528064367834855,0.0013626871806569957
11,0.0020888089001098245,1.5571048870807935,0.001408628425131846,0.0013292188534517588
12,0.0020837573271894902,1.5570377701757048,0.0013930619970516896,0.0013502499147935738
13,0.002019928621535166,1.557036134518352,0.0013394788639773116,0.001329758787889085
14,0.0020977032593004785,1.5571603301335641,0.0013953284976086025,0.001373606325772989
15,0.0020351410992060634,1.5569556204497028,0.0013513526464041014,0.0013364377918405545
16,0.001974659122361456,1.557009899745039,0.0013008767393116346,0.001316424563196169
17,0.002000317118023852,1.5569256511913772,0.0013117269099216812,0.0013460419012880957
18,0.001971502440167079,1.5570186232747723,0.0012950213231186305,0.001321821854666288
19,0.0019513126332726496,1.5568535342937757,0.0012743151291091295,0.0013228579364087554
20,0.0019989555427275757,1.556989489053907,0.0013188325969733204,0.0013291061068896209
21,0.001955503937982566,1.5568153876788906,0.0012751601660587252,0.0013295512401237794
22,0.001964232006830265,1.556769739823038,0.0012859721889190816,0.0013253842357496897
23,0.0019416216871838698,1.5568035012390575,0.00126895225917253,0.001314202784343303
24,0.0019352961682598806,1.5567118294385014,0.0012598087100506652,0.001319840676096712
25,0.0018891710008182624,1.5566716268569196,0.0012260839090255478,0.0012950407485628561
26,0.0019007457066931072,1.556857601505797,0.0012414180738644592,0.0012875181161055044
27,0.0019586870603954883,1.5565302286113725,0.0012821349907239635,0.0013219735383802112
28,0.0019371032720154413,1.556794086925122,0.0012642597445583928,0.0013145511825942118
29,0.0019070437956586847,1.5566212155667245,0.0012486049205459998,0.0012857453323345037
30,0.0018653547222751761,1.5566445176913386,0.0012100537362833264,0.001279469087942406
31,0.0018609951761126907,1.5568163410669902,0.001214086653021559,0.0012626807244649964
32,0.001889986868252886,1.556601206366183,0.001233271041853993,0.0012822996236684107
33,0.0018858342408915336,1.5565246696374855,0.0012229159721039182,0.0012947060446948648
34,0.0018955005754815641,1.5565070653734516,0.0012340484700464204,0.0012917740678647812
35,0.0018735823309829398,1.5568770509378678,0.0012243768605181393,0.0012672733888330523
36,0.001886332822524208,1.5566840428693527,0.0012281835168111782,0.0012851649341743666
37,0.0018180612145418844,1.5565096517713988,0.0011778662148336204,0.00124925980459712
38,0.001907322358622049,1.556716424792039,0.0012397011756320627,0.0013041080383817012
39,0.0018463650208088431,1.556515191354099,0.0011917182010027444,0.0012781633342122088
40,0.0018830783792356607,1.5564652826605725,0.0012275074624311401,0.0012800125292690174
41,0.0018114459145429018,1.5566807148837243,0.001168792934613182,0.0012541723440122866
42,0.001849603049746644,1.556527013395156,0.0012018779093517875,0.0012643197406025208
43,0.0018482997611772697,1.5566823156226297,0.0011984065633730031,0.0012686527479498111
44,0.0018701571098063141,1.5564623935168245,0.0012139547898547024,0.001281275398347813
45,0.001868411951684667,1.5568166284286389,0.0012120069672970162,0.0012816736409612534
46,0.0018275756625646428,1.5566218358700443,0.0011798787236941524,0.001264261448267978
47,0.0018951865672321134,1.5567526503914402,0.0012342210904375615,0.0012907958979758078
48,0.0018421803484531063,1.5563451083195883,0.0011969181308036476,0.0012593975268714666
49,0.0018453003501431237,1.5564849955551907,0.0011982732342710129,0.001262924526309391
50,0.0018204371576948765,1.5564012204040858,0.0011766051575468825,0.0012565359765943811
