epoch,loss,loss_main,loss_int,loss_grad,loss_branch,aux_loss,importance_loss,load_loss,hit_rate_0,hit_rate_1,hit_rate_2,hit_rate_3,importance_0,importance_1,importance_2,importance_3,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std
1,0.08382586971828702,0.025689435085239243,0.07838651331058856,0.04640191862592194,0.419340516982817,0.0038958644919931196,0.10647476482538266,0.02338738784952579,0.5030539631843567,0.47872236371040344,0.5105637311935425,0.5076599717140198,0.25598520040512085,0.23789511620998383,0.2544335126876831,0.25168636441230774,0.06779603980423486,0.053686341855256836,0.5526108997566502,0.447389100350681,0.31337251244973735,0.20728843480277032,0.2518227809474391,0.1911031336737137
2,0.052960026939930606,0.026538166603227765,0.034574727466305334,0.019563757372284385,0.4221950091448437,0.0034006301408916174,0.09224597998876025,0.02110836035300869,0.4938420057296753,0.4974466860294342,0.4964453876018524,0.5122659802436829,0.24918705224990845,0.249124214053154,0.24847061932086945,0.25321850180625916,0.09069268775730431,0.07630667501852578,0.5423970545898108,0.4576029457679602,0.3136849795498339,0.2065204054224534,0.25270415897987614,0.1902547736539274
3,0.05107406691155013,0.02728050549616333,0.03255894330597403,0.016939737564590083,0.42213813697590546,0.0035979293642579863,0.09855063835934301,0.02138034295442202,0.4836287200450897,0.5058576464653015,0.5031540989875793,0.5073595643043518,0.24663197994232178,0.2504410743713379,0.2517947852611542,0.25113189220428467,0.08673773884844808,0.07474368431863665,0.5367544377122034,0.463245562073134,0.31280465538547536,0.2063205220601281,0.2541754070450278,0.1895945289072727
4,0.048305760550291454,0.027424272655152758,0.029823470750034286,0.01434778257486682,0.4221051297411054,0.0035513582304370224,0.09667939102693068,0.021699219313058845,0.48312807083129883,0.5055572390556335,0.5042555332183838,0.5070592164993286,0.24600164592266083,0.2504824995994568,0.2514120042324066,0.2521041929721832,0.0832307588125692,0.07520674073807046,0.5265726911849907,0.47342730842146125,0.31215976700991716,0.20482047655287625,0.25263377967752326,0.19121272014487548
5,0.04634311228838502,0.027532163373499858,0.029413333216331012,0.01236791052522377,0.42132381477705144,0.00350170499560762,0.09455326266264227,0.022170239337105057,0.48673275113105774,0.5033543705940247,0.4974466860294342,0.5124661922454834,0.24917899072170258,0.2484665960073471,0.247849702835083,0.25450512766838074,0.07995199402268766,0.07206126896827733,0.5272063496304589,0.47279365008332436,0.30928314526398787,0.20552982330000272,0.25285678558132085,0.18898935654476767
6,0.045462926060390645,0.027672918257387387,0.028982039028946378,0.011471495705367136,0.4218579772211352,0.003420308264922591,0.09267891294393903,0.02133136535035994,0.48693302273750305,0.502953827381134,0.5031540989875793,0.506959080696106,0.24893110990524292,0.24971501529216766,0.2509238123893738,0.25043007731437683,0.07933760672306814,0.07112034924534046,0.5281903174888043,0.4718096825827499,0.31294272897266395,0.20653662693743802,0.24998625508304975,0.1886636917205418
7,0.045117802072723374,0.027871924224404657,0.028853887765884115,0.010927667914546517,0.42275456073475914,0.0034328210644585656,0.09220190210833068,0.022225469253126573,0.4784219563007355,0.5139681696891785,0.5072594285011292,0.5003504753112793,0.24618159234523773,0.25323477387428284,0.25174418091773987,0.24883966147899628,0.07929285779810037,0.07175689141432635,0.5257351252497459,0.47426487389160377,0.3119697030029949,0.20636203349316393,0.25325408628006946,0.1913150840876054
8,0.04367319232195008,0.027210605669529642,0.02776592523798722,0.010213268444496614,0.4228224411231129,0.0034727255619667477,0.09330904678731435,0.02244847438436243,0.4802243113517761,0.5118654370307922,0.503254234790802,0.5046560764312744,0.24741172790527344,0.2515049874782562,0.25178247690200806,0.24930134415626526,0.0798862189242319,0.07151355137791382,0.5285039912967407,0.47149600802349445,0.3125903566881102,0.2077956711705707,0.2521348560915417,0.18954470087321293
9,0.04362271483294389,0.027540208345853766,0.027287145958048386,0.009834658004855569,0.4234021505316337,0.0035191338945983483,0.0942474170187561,0.02305704865245191,0.482427179813385,0.512866735458374,0.5049564838409424,0.49974969029426575,0.24771644175052643,0.2529696226119995,0.25051555037498474,0.24879848957061768,0.08065554725021876,0.07234178708881892,0.527813719815853,0.47218628011259284,0.31443372776671474,0.20771456254916745,0.2524980946588201,0.18962362003462369
10,0.044464109038390744,0.02826957858311815,0.028244220642741916,0.00986271233511429,0.4243328939823686,0.0035073960426598642,0.09408332845115071,0.022829875446848197,0.47702014446258545,0.5108641386032104,0.5028537511825562,0.5092620253562927,0.24601225554943085,0.25156304240226746,0.25084975361824036,0.25157487392425537,0.08213787884557662,0.07537328792201514,0.5222550923941659,0.4777449079636051,0.3118595638248671,0.20614068049575243,0.25225935073173633,0.18905279402579722
11,0.04303772622967611,0.027514998181661567,0.026888517303993793,0.009408988607242381,0.4248803698716043,0.0034248877058098023,0.09090058744696639,0.0232623384497939,0.47822171449661255,0.5126664638519287,0.5023530721664429,0.5067588090896606,0.2471250742673874,0.2512834966182709,0.2507763206958771,0.250815212726593,0.08432638450186937,0.0769894789023345,0.523763457802879,0.4762365424475607,0.3119901925826273,0.2072213150623466,0.2537062225722465,0.1911052020908404
12,0.04308799116806287,0.02768802664512131,0.02673943363921661,0.009174949081171871,0.4254997358316419,0.0035510720135505723,0.09626448146280825,0.022104588153465714,0.4793231189250946,0.5123661160469055,0.5020526647567749,0.5062581300735474,0.24715253710746765,0.25133994221687317,0.2504443824291229,0.2510633170604706,0.08710925500629758,0.0792692316895058,0.5242142177143303,0.47578578292965745,0.31210335985380633,0.2050841451853979,0.25423042175649596,0.18958257363230382
13,0.04326207773471508,0.028079550536651284,0.026670211816535276,0.009114955859940772,0.42626500938262113,0.0034005501913766255,0.09026753273046627,0.023084142819882147,0.4744167625904083,0.5156703591346741,0.5076599717140198,0.5022529363632202,0.24605029821395874,0.25240346789360046,0.25306248664855957,0.24848361313343048,0.08812268706662457,0.08216252137704486,0.5183329662355054,0.4816670336929404,0.31115500026104115,0.2070482955867646,0.25278783406243893,0.19017681928456617
