epoch,loss,loss_main,loss_int,loss_grad,loss_branch,loss_route,g_mean,g_std,mask_mean,mask_std,e_base_l1,res_vis,res_ir,cap_l1,vis_u_l1,ir_u_l1,diff_l1,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std,health
1,0.11562902371690911,0.023638880773618514,0.08707612709311091,0.05226639297870206,0.13525107485048768,0.5932725189971466,0.6696543703202297,0.08384205226208097,0.6792486731101628,0.45937728123361465,0.07007300133715157,0.07560783585951085,0.04260173060658465,0.11968237239703097,0.06431834099563856,0.06017301246157142,0.12083181707492592,0.11154108716114586,0.13086365061696945,0.4466790646708169,0.5533209358658395,0.31065370952811133,0.20586706522633047,0.25076050471429495,0.18936108880075944,OK
2,0.07393635845198637,0.02641545702666402,0.03603352711056353,0.02096741398827744,0.06610738691322658,0.4457812059183224,0.6770604354779975,0.2447794957124457,0.6776412054628026,0.4591791986131153,0.08159524051188564,0.14170001027714305,0.07306736723116251,0.20699996435914148,0.10808391481781063,0.09147840579088425,0.19197233339675476,0.20816285545084656,0.2236053057435323,0.48213459728431013,0.5178654034312318,0.3127369413606259,0.20666705391236714,0.25330314143043176,0.18991719370558052,OK
3,0.0679433044909286,0.026988717107972106,0.031004612148478897,0.016085440147609986,0.05986320941137666,0.42340107056416243,0.6771111665438919,0.2633591692577175,0.6771119662693569,0.4599315658623145,0.0777904692889691,0.14803001512678302,0.07745886164284697,0.21612667049966655,0.11185810153259665,0.09105717315643776,0.1933864854356679,0.21754425157662055,0.23735580581719992,0.4782056097938519,0.5217943889181725,0.3138438689143432,0.20658401892680367,0.250313242756519,0.1889303840186988,OK
4,0.06550414520366138,0.0272209262039338,0.03022772789175878,0.014338515179582826,0.05135253847253566,0.4081681040154786,0.6775034595580519,0.27245826685593194,0.6778949883376278,0.4592445261266624,0.0758898833326074,0.15271147268087495,0.07974165970054851,0.22135914042860377,0.11638412842837846,0.09511340631335294,0.20226910332886397,0.22424601982621586,0.24444117678814575,0.47846634762913953,0.5215336519415352,0.3109987292255388,0.2055300861722281,0.2553726629692824,0.1916056372592,OK
5,0.06371353020598622,0.02709411033222369,0.028824435678922258,0.013207585503328212,0.04206557787892198,0.40217468904561643,0.6791760654581123,0.275132658342425,0.6801303381822548,0.4585282916710729,0.07283735001126544,0.15058217605515545,0.0774003442864315,0.2158015414195902,0.11638843631293594,0.09724434399876704,0.20451695775212933,0.2204227721920105,0.2377420433429109,0.4812967204818634,0.5187032790888114,0.31089459143194403,0.20614774792599364,0.2519256483589043,0.18957282750367546,OK
6,0.0617244964664509,0.026783663352408043,0.02755172000046359,0.012374139223180685,0.03811445624074515,0.3886075390129387,0.6812451534769257,0.2816432897819906,0.6820066122948623,0.4575144609197133,0.0719417353146145,0.1534252402787449,0.07689304573579925,0.21704001379471008,0.11978309467381218,0.10267544579820759,0.2131593994984106,0.22395470894041325,0.2374073099903986,0.48575793054639077,0.5142420702049283,0.31299426178542933,0.20655811500220167,0.2530017610447032,0.18863108330199413,OK
7,0.06144710596190209,0.027406422168660422,0.02662760085489999,0.011892423311825327,0.036827965253809776,0.3823444087679933,0.6782058108539856,0.2900081279934669,0.6787327093308141,0.45849230481224473,0.0721109635090413,0.1513641154011186,0.07732913266120553,0.21552813223072317,0.12236165066583961,0.10699612497031188,0.2202658513549711,0.2217898901914205,0.23621666860752175,0.4847086953515766,0.5152913048630859,0.3121975929188986,0.20643812780227122,0.251777985892376,0.18900857656514372,OK
8,0.06047886786233334,0.02723226817335938,0.026699655849178012,0.011324993949629466,0.03543083186597884,0.37794662849241945,0.6792326154185085,0.29077442750638843,0.679993914205487,0.4588572193666094,0.07087520157553855,0.14710187337764888,0.07542913581053463,0.20954842468341286,0.12166722992710134,0.10795159789980674,0.22060745840026838,0.2153144840325485,0.23093076154035108,0.48323924730376466,0.5167607525531269,0.3125383567695572,0.20557989280263916,0.2515105598506664,0.1897972971916485,OK
9,0.05934345094310422,0.027005023503003,0.02642171316258028,0.010861708999232424,0.03519544848615454,0.3696518439669855,0.6812371000880096,0.2958219736850276,0.6817543971724584,0.4581622830530604,0.07033314218684261,0.14568391280407522,0.07451901009970424,0.20681000085008674,0.12212683015367708,0.11044697118263427,0.22347230511624702,0.21258772052779776,0.22916142272205056,0.48222360022070887,0.517776398240876,0.31129462258512375,0.20539891733234528,0.25209956304902503,0.19150593480607328,OK
10,0.05893705144417243,0.027112182846912244,0.026036120244018992,0.010545135924026889,0.034685743022329955,0.36658525506273754,0.6786714782591771,0.3004442591841768,0.6790660924556591,0.4587986373386177,0.06950806640759379,0.14009554346068567,0.0735009089805463,0.20088987465666122,0.12044932280017548,0.11033865796918628,0.22164505507264817,0.20527330797617319,0.22410431173311418,0.47926409927164376,0.5207359010861272,0.31234689026462786,0.20478364180366532,0.25211210605226647,0.1879625538048767,OK
11,0.0577681964981098,0.026826665405796712,0.025530381137136224,0.01003956824059219,0.033947755796175184,0.3601889372551713,0.6816398401578077,0.30065543829750757,0.6818414267514791,0.4574861848840908,0.06879626718066892,0.13811167164080712,0.07153940514078876,0.1962988880895624,0.11945141101477384,0.11004075667365831,0.22003007720426923,0.20141544540961678,0.2198261100561822,0.479337539492535,0.5206624607221276,0.31239312200271496,0.2062985111578029,0.25185278424767316,0.18949373428668437,OK
