epoch,loss,loss_main,loss_int,loss_grad,loss_branch,loss_route,a_mean,a_std,mask_mean,mask_std,a_vs_mask,e_base_l1,e_conflict_l1,res_conflict,cap_l1,vis_u_l1,ir_u_l1,diff_l1,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std,health
1,0.08402708456331656,0.024706795512019944,0.06821669720667822,0.05108194071397024,0.1416678451681409,0.0,0.9334354847848487,0.014728306264492588,0.6781588035399745,0.45928324259915987,0.345336852722666,0.08729192255889955,0.07926202850306735,0.07546775007904434,0.12111018254032575,0.06762675792543443,0.06680359031936872,0.13241468090899422,0.1195407211612843,0.13106242541809615,0.48657335475140834,0.5134266442468329,0.3130314038867424,0.2061585395329711,0.2522532304688519,0.1895827856294963,GATE_FLAT
2,0.05071723379311012,0.02607603600787587,0.03405391871996251,0.020822323955447912,0.041348192013469204,0.0,0.9945490547732002,0.004148280123664605,0.6781316829257223,0.4596713120196046,0.32416741748531613,0.08210676508683976,0.07700424424024904,0.07660596090562347,0.13306298301893982,0.07135162302175489,0.06939090164501269,0.13737461522740332,0.13616699619847042,0.14625357526118588,0.48205235757890724,0.5179476423137614,0.3135000185376885,0.206173261826565,0.25369849710726367,0.19018739073717295,"GATE_ON,GATE_FLAT"
3,0.04736567462156085,0.026883991089697575,0.029948087098325145,0.017090554056199445,0.03963207805670109,0.0,0.9950971683534253,0.0039051537916829,0.679452453018809,0.4589626403773675,0.32275717884373695,0.07621000108777547,0.07076488306918063,0.07043908863347403,0.12185122146039735,0.0654975186322345,0.06420866048940661,0.12537804095684982,0.1301669748712416,0.1317642728070251,0.49678804647593366,0.5032119534882893,0.3141553461158118,0.20740333108269438,0.2517764084801382,0.18874353885042425,"GATE_ON,GATE_FLAT"
4,0.045841983279117156,0.027319246339572577,0.028350992954480334,0.015248773804008246,0.043886379237059785,0.0,0.9972767454235494,0.0026824315074922924,0.680026535476957,0.4593903733258631,0.3212999397215723,0.07243612507919446,0.0654457417749414,0.06527970006772164,0.11411125151192297,0.06218835926588987,0.061691802589833235,0.11904514069352545,0.12429407301570188,0.12293950830544888,0.5027121614222051,0.49728783868512616,0.31253056138718116,0.20633484758570844,0.25109714851910325,0.19021410571963562,"GATE_ON,GATE_FLAT"
5,0.04439542290954744,0.02766479147063727,0.028186170899701646,0.013435261333551335,0.047675311563163104,0.0,0.9986775216936064,0.0016470226360818132,0.6771883753811468,0.4599415331828494,0.3234619268027245,0.06906524060868702,0.06140586851882476,0.06133107268134085,0.10986540168702674,0.058799629380293685,0.060537381122271125,0.11299878635219023,0.1202765173342477,0.11846708813134361,0.5038407341200335,0.4961592667386168,0.31211672233147064,0.20545621127748834,0.25098964625618464,0.19031050693945867,"GATE_ON,GATE_FLAT"
6,0.04218363238326391,0.027304699115616147,0.027411660526086446,0.011677060179000928,0.04607070278765417,0.0,0.9991808890723953,0.0011513085211576873,0.6810959980768316,0.45852411998992637,0.31928808196466796,0.06518762345377709,0.05794631297580478,0.05790259321930171,0.10470419869918067,0.056127231348963344,0.05862539535721525,0.10727080547151302,0.11514077589613478,0.11285835230837063,0.5050114195029132,0.49498858056864103,0.31245150600447086,0.20540209359624664,0.25035764420089746,0.18897721858299366,"GATE_ON,GATE_FLAT"
