epoch,loss,loss_contrastive,loss_feature,loss_sim
1,0.009987558821263183,1.5658334541578396,0.009811045429856592,0.0026809181266403232
2,0.0013492812423090287,1.5642488399187342,0.0010415972211515019,0.0048673590043551845
3,0.001144903046849026,1.5640908126928368,0.0008302135857531806,0.0049841426629327135
4,0.0010750078336790759,1.563970903961026,0.0007649254258955457,0.004907378422499982
5,0.0010014827835073388,1.5638235730855834,0.0006932270366594806,0.004876958622973377
6,0.0009586576022021025,1.5638043273683069,0.0006514717522975184,0.004859130263148549
7,0.0009251841723407134,1.5638381787279503,0.0006190891594980705,0.004840943985325167
8,0.0009083143237456657,1.56377430931002,0.0006023975170808895,0.004837984511000411
9,0.0009134872282466975,1.5636387080991683,0.0006036177749200786,0.0049038845792078465
10,0.0008891491150712128,1.5637162820774826,0.0005834249442844067,0.004834783564884627
11,0.0008781164481935157,1.5636937240449464,0.000567455293307006,0.004917070405076438
12,0.0008749919619980309,1.5637448446518805,0.0005657485482585644,0.004893432858292157
13,0.0008633366051814233,1.5636361287135323,0.0005551397967347115,0.004876007537954539
14,0.0008487851969292052,1.5636096359873448,0.0005455090861328283,0.004794000367335483
15,0.000862348127330621,1.5637123224829712,0.0005548419684331276,0.004864483990813835
16,0.0008465374622461559,1.5635610179168409,0.0005404501591322329,0.004840861643915537
17,0.0008697711379964789,1.5635868801074584,0.0005654089730714408,0.004812105027781263
18,0.0008599498281733324,1.5635925610096943,0.0005462367816351349,0.004967952128538878
19,0.0008301682414525157,1.5636338769745568,0.0005270860126095439,0.004790764948483702
20,0.0008256819351374463,1.563690624961189,0.0005205949398739004,0.00482416824669111
21,0.0008563643145758719,1.5637042035861892,0.0005428988500783333,0.004963807129141252
22,0.000846026552258851,1.563648007425512,0.0005343086396992187,0.004934690627722251
23,0.0008308762447545998,1.5636685694537673,0.0005244999582045472,0.00484566012576853
24,0.0008261102207126889,1.5635807156419697,0.0005167566772315138,0.004895295713212573
25,0.0008237268839813803,1.5636122406316117,0.0005228943751097292,0.00475327321516891
26,0.0008260247875189482,1.5635122590276802,0.0005235916445924652,0.0047799671333062935
27,0.0008375953391277078,1.5636208355069017,0.0005257173402498768,0.004937363308709057
28,0.0008484906446253535,1.5636683902820618,0.0005351233229782916,0.004962177464033009
29,0.000795930798299245,1.5636678155587644,0.0004964543105478176,0.004730663602469581
30,0.0008016710954438504,1.5636155756295513,0.0005018460966073958,0.004736480824462063
31,0.0008035656248001574,1.563595943304957,0.0005000435101733563,0.004798102678785867
32,0.0008037667969049716,1.5635879856197774,0.0005043821301227262,0.004729146567438276
33,0.000804132748556481,1.5636114674885304,0.0005001160688003014,0.0048063428885088775
34,0.0008147677732750356,1.5636055550369181,0.0005121693223035483,0.004782706712085266
35,0.0008070504317197911,1.5635218163784526,0.000500052666996585,0.004856042585227782
36,0.0007975162682102519,1.5635701810039964,0.0004948353433246011,0.004784087177269867
37,0.0008193213424990837,1.5635985858729478,0.0005149052651912938,0.004813001649890269
38,0.0008221068354180957,1.5636697680580944,0.0005181970959749393,0.004804550773260941
39,0.0008076331339914035,1.563546251492197,0.0005039078186476873,0.004801497631384863
40,0.0007781970832750675,1.5636082220764436,0.00048296270151116684,0.004659971776896347
41,0.0008276838266725639,1.5636042136104167,0.0005167899547364324,0.004920963921314743
42,0.0007919546058000371,1.5635550769866586,0.0004917240163841311,0.0047432507673672
43,0.0007898596467486318,1.5636041748280427,0.000491748429073671,0.004707919715387726
44,0.0008095896129471519,1.5636197022315548,0.0005039673765271841,0.004833100778123393
45,0.0007969112784838213,1.5636017010563992,0.0004959068296759223,0.004756140616294198
46,0.0007844739594613621,1.5635926502377762,0.0004836211222891124,0.00475361528272527
47,0.0007935110959998642,1.5636252896840117,0.000489219608923503,0.00481092065732338
48,0.0007936598253430796,1.5635651717809926,0.0004937602021278773,0.004737732986056459
49,0.0007826951191762556,1.5635717404561311,0.0004812192976988918,0.004764001867591346
50,0.0008040756779713925,1.5635817868798292,0.0005016788449471018,0.004779350348230617
