epoch,loss,loss_main,loss_int,loss_grad,loss_branch,aux_loss,importance_loss,load_loss,hit_rate_0,hit_rate_1,hit_rate_2,hit_rate_3,importance_0,importance_1,importance_2,importance_3,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std
1,0.028919240623032774,0.01822257948656972,0.055430929966959634,0.0797147631560232,0.12650254844617442,0.00388854255167195,0.10633490765470081,0.023283180102061967,0.49083811044692993,0.4965455234050751,0.5031540989875793,0.509462296962738,0.25008952617645264,0.24618174135684967,0.2555218040943146,0.24820689857006073,0.11510563122962757,0.10685885151359616,0.523720434519137,0.4762795654808631,0.31106506026878794,0.20604543611496723,0.253402593068215,0.19082921736237524
2,0.021627337760141058,0.014797069018288535,0.03023015930890894,0.0723687088919752,0.037463411221466285,0.0034326186933580425,0.09206072794833771,0.022359897600713836,0.49083811044692993,0.49854812026023865,0.4887353777885437,0.5218784809112549,0.24874448776245117,0.2482534795999527,0.24908049404621124,0.25392141938209534,0.12876497404057297,0.11958197962228849,0.5182463049101514,0.48175369541184243,0.3133627138182181,0.20491294043154276,0.25515250516395754,0.19194424489573414
3,0.020864249437394476,0.014097394108647058,0.027897550831778067,0.07222741616650576,0.036171364236851127,0.0036153865341960237,0.09835827872766426,0.022154608231019966,0.4880344569683075,0.5028537511825562,0.4892360270023346,0.5198758244514465,0.2491137981414795,0.24895472824573517,0.24978916347026825,0.25214239954948425,0.12415933473055818,0.11635028107577011,0.5159238496032797,0.48407615039672025,0.31112784184828524,0.20492772512039503,0.25418701194593457,0.19080146836812328
4,0.020471753339011484,0.013767741755822769,0.02751384965968089,0.0689707423581564,0.03624288134929799,0.0035901977421379325,0.09738943472414893,0.022283825718256614,0.49173927307128906,0.5002503395080566,0.48983681201934814,0.5181736350059509,0.24845625460147858,0.24949243664741516,0.24979642033576965,0.2522552013397217,0.12360711547793174,0.11581376586713138,0.5159491079838193,0.48405089198040363,0.3141877890205612,0.20775036088057927,0.25132093287888124,0.18919929951465145
5,0.020041185038752345,0.013541281141680616,0.0261502025631063,0.06832156088516242,0.035837599920446564,0.003526507628085718,0.09424936144972178,0.023300895269089215,0.49734655022621155,0.49584460258483887,0.4803244471549988,0.5264844298362732,0.25123196840286255,0.2468738704919815,0.2459176778793335,0.25597643852233887,0.12495137265428347,0.11931188051261249,0.5112338406699044,0.4887661597594207,0.3135979422787372,0.20704713543387307,0.2530179529094181,0.1898107024497774
6,0.019734343563039908,0.013353126296842871,0.026323162538020695,0.06984808394911231,0.03663673680521646,0.0033825335990694,0.09045895955613105,0.022292162683995895,0.49784719944000244,0.49584460258483887,0.48302793502807617,0.5232802629470825,0.2502857446670532,0.24889595806598663,0.24872420728206635,0.2520938217639923,0.1265509480617198,0.12502979142826146,0.5027794293066462,0.4972205705860225,0.31208681689948736,0.20520267308223433,0.2547953333191368,0.1916991920889068
7,0.019319583403588345,0.01282542227573988,0.02631064243100378,0.0685833622863581,0.03633914836475543,0.003499705384443218,0.09249415389277653,0.024162694912304317,0.4972464442253113,0.5037549138069153,0.48302793502807617,0.515970766544342,0.25033271312713623,0.2523830533027649,0.24769006669521332,0.24959418177604675,0.13104010649732037,0.13001669704520544,0.5016388370066273,0.49836116385202306,0.3130710414048432,0.20666090707604337,0.2526142335667902,0.19039632796811887
8,0.018493031630111414,0.012106226066782588,0.02595901973702076,0.06768410799002984,0.03437691437480759,0.0034471344226489997,0.0898237163977921,0.025080766581671955,0.49904876947402954,0.49904876947402954,0.4781215786933899,0.5237809419631958,0.2503582239151001,0.25019171833992004,0.24780161678791046,0.2516483664512634,0.1382664525333573,0.13666008271518446,0.5026073432555433,0.4973926570664505,0.312469516642669,0.2062938148949613,0.25261129819903194,0.19115147136804722
9,0.017972093700495014,0.011645850281612354,0.02572947620589729,0.06681840184020574,0.03224799701539265,0.0034308157746756524,0.09005819466376609,0.02430233357967261,0.5028537511825562,0.4964453876018524,0.4795233905315399,0.5211775302886963,0.2509731352329254,0.24983316659927368,0.24791890382766724,0.2512752413749695,0.1434002717932304,0.14180276101949263,0.5025172526595973,0.4974827473046256,0.3129335266201436,0.2079515295619724,0.2530578309211697,0.1929771753938115
10,0.017688049328829846,0.01134050249637497,0.025218458518627383,0.06511128106292019,0.030755140280880992,0.003518149500210615,0.09410205873529234,0.023169593328620126,0.5025533437728882,0.49634525179862976,0.4750175476074219,0.5260839462280273,0.2506469488143921,0.25023525953292847,0.24634060263633728,0.25277721881866455,0.15127783288367513,0.14838084884408284,0.5045814672294928,0.495418532698953,0.31012695807726587,0.20513649715953658,0.2529364911770048,0.19057590024275226
11,0.01755175788720258,0.011211516655923404,0.025664994806176473,0.06777242513033611,0.02963699851887209,0.003477371741286932,0.08933415915219572,0.026578234750827795,0.5025533437728882,0.49324122071266174,0.47461700439453125,0.5295884609222412,0.25076958537101746,0.24788203835487366,0.24681849777698517,0.2545299530029297,0.15924136926468108,0.15421517204050542,0.5076696522811166,0.49233034657401625,0.3108032251141366,0.20638961517581847,0.2519038149825379,0.1903842674548171
12,0.01772404991264711,0.011132094583676463,0.026096397740285653,0.06702662982820284,0.028254477781246977,0.0036997707328631398,0.09642649809713458,0.026899195368298847,0.5022529363632202,0.49294084310531616,0.48092520236968994,0.5238810777664185,0.24971772730350494,0.2479284107685089,0.24924619495868683,0.25310754776000977,0.1677109470137027,0.1608557993409728,0.5100649836398259,0.489935015930849,0.31239472798296525,0.20544194990024417,0.25217486731931654,0.19058581791361984
13,0.017156798909066105,0.010858934360924138,0.025340949938747706,0.06573045798739484,0.026195955258153495,0.0035018099803039537,0.09065521768789564,0.02607178432215117,0.5008510947227478,0.4976469576358795,0.4820266366004944,0.5194753408432007,0.25004199147224426,0.2500658333301544,0.24940481781959534,0.2504875361919403,0.17244488628757815,0.1641972263534816,0.5119007570045192,0.48809924238727015,0.3101790974012801,0.20554201354106078,0.2512457891314828,0.18862238562121397
14,0.01726490426204857,0.010872686140368931,0.025602478913555878,0.06600747259315841,0.025338885638223334,0.0035785813423182193,0.09116553489782513,0.02812051237798391,0.502953827381134,0.49804747104644775,0.4766196310520172,0.5223791003227234,0.25041839480400085,0.25053808093070984,0.24672017991542816,0.252323180437088,0.17544890725526777,0.1648100326542093,0.5152360355081249,0.4847639645992064,0.31101758821027764,0.20525804465236355,0.25357689869468236,0.19086741643543004
15,0.017025566055011206,0.010777169282884658,0.02546009938663044,0.06627844217806911,0.023672361720670887,0.00346566314986093,0.0884593056177632,0.027062801790109524,0.5036547780036926,0.4967457950115204,0.4737158417701721,0.525883674621582,0.2508299946784973,0.24942316114902496,0.24548593163490295,0.25426116585731506,0.1773170337778609,0.16475837828875448,0.5178899493824248,0.48211005111845456,0.3146289663226092,0.20849989538862496,0.25225146526262826,0.19093401527919976
16,0.01689169357115982,0.010655117585655807,0.025629178530314104,0.06537593146372421,0.02261510634814956,0.003447507050211624,0.0895922908994846,0.02532461332283033,0.4994492828845978,0.49634525179862976,0.4781215786933899,0.5260839462280273,0.24889527261257172,0.2493392825126648,0.24802622199058533,0.2537393569946289,0.17893111594871025,0.16534438353626668,0.5194246200095562,0.48057538034821473,0.31310268742840686,0.20668569028305978,0.2536564028831948,0.19105088565887665
17,0.016997536024948558,0.010637195134090454,0.025879833125034158,0.06760755509120218,0.021904607718231297,0.0035533114368015498,0.09202804646292916,0.026415670294222943,0.5030539631843567,0.4921397864818573,0.4825272858142853,0.5222789645195007,0.2505476176738739,0.24758851528167725,0.2501828968524933,0.25168120861053467,0.18066925398942804,0.16519542115361466,0.5219697772311707,0.47803022251838967,0.3152712745254352,0.2074874597651904,0.25090155094003336,0.18862955671112364
18,0.01669308270628498,0.010448836137865987,0.02487556165864631,0.06407085904909694,0.02081649795639701,0.0035485253338593016,0.09025537093183404,0.028028809452610534,0.5045559406280518,0.49083811044692993,0.48262742161750793,0.5219785571098328,0.25133216381073,0.24674758315086365,0.2499588131904602,0.2519614100456238,0.1798426904955975,0.16432872257169698,0.5219855429101534,0.4780144569825153,0.31054961371894074,0.20623944676509137,0.25208147113420526,0.189249854879219
19,0.01686353626407209,0.010476616113407522,0.025768172084202928,0.06607538181170373,0.020445014152224182,0.0036056526933236567,0.09148643307492225,0.028701992268732213,0.49544408917427063,0.4965455234050751,0.48312807083129883,0.5248823761940002,0.24681253731250763,0.24995620548725128,0.24928124248981476,0.25395041704177856,0.18028534190351364,0.16545157517347875,0.5210402369284544,0.4789597636082021,0.31060378922491655,0.20627414639972125,0.2547501874964635,0.19297747342597965
