epoch,loss,loss_main,loss_int,loss_grad,loss_branch,aux_loss,importance_loss,load_loss,hit_rate_0,hit_rate_1,hit_rate_2,hit_rate_3,importance_0,importance_1,importance_2,importance_3,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std
1,0.08431103238377537,0.024931318273081357,0.0558379427904413,0.05218793941652771,0.1607980398642344,0.0,2.999997846791152,0.022154608087212806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07958901607367744,0.08609235206829095,0.4816280233115852,0.5183719762948668,0.31067071676182717,0.20561558570788832,0.2538992438693436,0.1912639349037144
2,0.050774334620187975,0.026852742114774033,0.03359828352489892,0.020136268267750133,0.04254958960859358,0.0,2.999997846791152,0.020300748771015165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10819238348274815,0.11092045090171326,0.493366249826919,0.506633750888623,0.3133896955278884,0.20702113681623774,0.2554113915165504,0.19082861115523175
3,0.04748244221028195,0.027332645929826586,0.0303432150002645,0.016701611350899807,0.041386345150966605,0.0,2.999997846791152,0.020324716786658314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10454667568886553,0.10706107804075438,0.4937727820544111,0.5062272174447096,0.31294151292700156,0.20543316109519616,0.25294648590279656,0.19098275441045806
4,0.04545692727640539,0.02738112219836281,0.029801104033292055,0.014686776910397579,0.04089177127967791,0.0,2.999997846791152,0.020074617564158306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09736927162234237,0.10140428260988404,0.48965807014009677,0.510341929788349,0.312132701868055,0.2057949019347777,0.2537861482775798,0.1907805940058051
5,0.04435446044477094,0.0281469255969787,0.02825169199753423,0.013012880472285228,0.03694851935750582,0.0,2.999997846791152,0.020934333155934542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09178234465053531,0.09705049430980545,0.48596381761876045,0.5140361820950228,0.3117702352542694,0.20536709133209158,0.2524056263437935,0.19030636708204057
6,0.041699747021655506,0.027172715877745154,0.02727493403383306,0.011445616932064832,0.035392080781375373,0.0,2.999997846791152,0.021068761178593087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08705830242203064,0.0909888550621264,0.4888892253907789,0.5111107750385463,0.31561756672478525,0.20836663059219449,0.2527063074929803,0.19112753026446805
7,0.04255587499955443,0.02809040486758926,0.02782236961905016,0.011331524713342788,0.03517084459171576,0.0,2.999997846791152,0.021179221562805304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08293552237863587,0.08673389127202967,0.48877587109482157,0.5112241289767326,0.3131141963483048,0.2053275350458911,0.25223626351120376,0.191894573815802
8,0.041025807457167704,0.0277058561729426,0.027049458084800162,0.010272060944961489,0.03429445119223603,0.0,2.999997846791152,0.02015277341811494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07940013620819078,0.08314166708188613,0.48854560912156303,0.5114543908068827,0.31240438266533194,0.20605967815469006,0.250183296983554,0.1894162264870567
9,0.040083300839944117,0.02720174186338647,0.026180630748798582,0.009928782052099972,0.03347138681707262,0.0,2.999997846791152,0.021158380117233828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07623854917692108,0.07978655441718943,0.4888095831742235,0.5111904180064207,0.3112363963424802,0.20702920432816319,0.2525070125208038,0.18853180496847213
10,0.039705568511991585,0.027304308613066843,0.02580851698037134,0.009488965575007492,0.03314426798252713,0.0,2.999997846791152,0.021554369998744733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739720302174429,0.07743828578227135,0.48871780672565657,0.5112821924156931,0.31157506503263155,0.20489931119089366,0.2513285666024413,0.1885349131396123
