epoch,loss,loss_main,loss_int,loss_grad,loss_branch,loss_route,g_mean,g_std,mask_mean,mask_std,e_base_l1,res_vis,res_ir,cap_l1,vis_u_l1,ir_u_l1,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std,health
1,0.11928236720656432,0.026997770183906405,0.09011659984077726,0.05108098259379043,0.15976525225094101,0.611886029734331,0.6681844162053707,0.0708722312980916,0.6796892120772335,0.4595237499883338,0.07956312110229415,0.06206794672350467,0.036713360047687875,0.10089929884921263,0.06274329750666714,0.0679283259662331,0.09167194693647816,0.1127479225659848,0.46363085808874177,0.5363691424121376,0.3130811516191064,0.20845197184103018,0.25388157086856084,0.19060006483691652,OK
2,0.07507679545704056,0.026409094084371754,0.03893909724887644,0.019448396456869497,0.06212934370891673,0.4940820273731937,0.6783097744131146,0.19940976571349822,0.6805899168978504,0.45836273966287794,0.10023582489693723,0.10530487561122137,0.06291032084772567,0.16285013163290105,0.10072102940597741,0.11625451183154517,0.15442222088468033,0.19386863214772146,0.443671872492741,0.5563281267917171,0.31186830314124475,0.20525230843873443,0.25351519192181,0.1907491495146328,OK
3,0.06847986709974965,0.02689673039181178,0.03215369876107427,0.016097195035613635,0.06089660723884853,0.4332321018946557,0.6778530573644558,0.25379741384165916,0.6783022110988828,0.45968839433156,0.09908845937516796,0.11570072419145384,0.0718698458073019,0.18087548620345928,0.11409909390852231,0.13888238270242675,0.16988498017209774,0.2207780570185342,0.4348422839146416,0.5651577157991416,0.31267232618698265,0.20608218272729795,0.2550707169655277,0.1901865890081905,OK
4,0.06540366322124133,0.02718184757217461,0.02994035207191292,0.014000252456072212,0.05463580685217126,0.41362339236727713,0.6798382139578014,0.265706625761462,0.6803477685920903,0.45797474240483926,0.09429636796196254,0.11765756163777423,0.07306500414715093,0.18395245025137894,0.11501042663800616,0.14370195521097653,0.1721135241573169,0.22580839518238516,0.43244951462545317,0.5675504856607636,0.3129420622664483,0.20563047200369805,0.25239159300977015,0.18960499665996178,OK
5,0.06385065273953085,0.02720124048369826,0.02906370511566963,0.012693583583492799,0.04880197227698844,0.4112287620429088,0.6741006129643783,0.2733457487563984,0.6746713884022771,0.4608682358608383,0.0901886472055892,0.11294797474757677,0.07243462652415215,0.17811091680701327,0.11159898798648908,0.1425821809243469,0.16676191143056496,0.22013006676860503,0.4309538609268857,0.5690461385006808,0.3121527110149308,0.20567512624010462,0.2536100619086841,0.19068411094587104,OK
6,0.06170545186342097,0.02681300050432549,0.027773828469306268,0.011674464200338235,0.044506371294071125,0.39991080254709876,0.6773610801613774,0.2759498244091099,0.677665155761096,0.45929206201151496,0.08719520829841584,0.10954447959562023,0.07081809790194535,0.17242271566734452,0.10814591850481686,0.14216386537556172,0.16080434821626577,0.21717530472868202,0.42537160756207315,0.5746283919728246,0.3126566574997118,0.20681189918289092,0.25272486225611307,0.19052892500290922,OK
7,0.06034884777810035,0.026937948539853096,0.02750842011838901,0.011154425100983531,0.04133034828884834,0.3818465650153189,0.6827330558168359,0.28609701905216206,0.6832154384609602,0.45803353519571355,0.08446218445449889,0.10865223529387494,0.06858588146025679,0.1687145440124807,0.10523548179349693,0.14182766849825792,0.1583538738404717,0.2142526740465416,0.4248957870101013,0.5751042130614529,0.31247827974187226,0.20598670661377877,0.25295950937457157,0.19030638383466655,OK
8,0.06043557071385263,0.027719168477699535,0.027398479360045077,0.010928650449800428,0.03838055009986101,0.37328196062045654,0.6780916608038212,0.29441385019440897,0.6781904759312591,0.45883110630698276,0.08353351295387902,0.10779879608449816,0.07035438335832714,0.16841005445385324,0.10473057816402108,0.14451278220204747,0.15814068979647408,0.21649794772464115,0.4220344871819234,0.5779655122814201,0.3120425704146634,0.20562890422444383,0.25306388367267074,0.19040209330430552,OK
9,0.05992697557660283,0.027729090789527525,0.027377407555664035,0.01060579279951957,0.03667959992607244,0.36975109927794514,0.6721817905090007,0.29908569240305316,0.6727567041585711,0.4603644806940873,0.08214014821371683,0.10376737994395671,0.0703080746771193,0.1633869279869178,0.10270540691724345,0.14358732886031036,0.15345726083485592,0.21210171049740278,0.4197071262982999,0.5802928746676818,0.312752176474194,0.20675250816316593,0.2533742708354151,0.19250876678317105,OK
10,0.05858488489134687,0.02705915772612123,0.02622454263334747,0.010223215914612003,0.03504298969047839,0.3665925345930303,0.6778212163557096,0.30050772215638843,0.6781632469839551,0.45924808873849754,0.07968252407116334,0.09973725417599816,0.06646066927323106,0.1557862305877303,0.09905339053877833,0.13998491911828018,0.14639077594085614,0.20434900393792274,0.41724737526989786,0.5827526239787831,0.3128416249517347,0.20688252482845002,0.2536191256249509,0.1912646202945194,OK
