epoch,loss,loss_main,loss_int,loss_grad,loss_branch,aux_loss,importance_loss,load_loss,hit_rate_0,hit_rate_1,hit_rate_2,hit_rate_3,importance_0,importance_1,importance_2,importance_3,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std
1,0.10188698906251739,0.026081827930489552,0.10216877835700701,0.06013243666053304,0.1554031637356137,0.0039018145053953284,0.10713804199182975,0.022922444200585,0.49781274795532227,0.48828616738319397,0.5029649138450623,0.5109361410140991,0.2527625262737274,0.24403299391269684,0.25078827142715454,0.25241619348526,0.08823911867474611,0.14287531172253173,0.38646552894082103,0.6135344723443608,0.31626172846569606,0.20610834992466828,0.253058642444216,0.19009327748681837
2,0.06150606960613966,0.026326865888046565,0.040970452757235314,0.027134557374555505,0.05354137074567013,0.0034121870639250125,0.09238225081411452,0.021357320273367772,0.49479925632476807,0.4972294867038727,0.4930494725704193,0.5149217247962952,0.2500666677951813,0.24926719069480896,0.2477242350578308,0.25294163823127747,0.11181320973383241,0.15557530046481907,0.4178054951704465,0.5821945056631849,0.31679063637704,0.2069092069455099,0.2537328175905145,0.18969134013830644
3,0.05215404496586823,0.026552523374514077,0.03256038989381114,0.018334428221312957,0.040665506793398816,0.0036043992141926674,0.09872457322985176,0.021422070018933013,0.49129968881607056,0.4982987940311432,0.49897927045822144,0.5114221572875977,0.2503713071346283,0.2468341886997223,0.25126171112060547,0.25153258442878723,0.11856446754717048,0.14877335471046832,0.4433232180791579,0.5566767818166382,0.3165642755640137,0.20743170356278098,0.25350337657026756,0.18912158185715996
4,0.05137193578540723,0.027322233685494197,0.02914217444644733,0.017164948781179416,0.03960027238071868,0.003574533064467458,0.09706737283509527,0.0220837318191917,0.4945076107978821,0.49839600920677185,0.4960629642009735,0.5110333561897278,0.24924804270267487,0.24777160584926605,0.2505391836166382,0.25244131684303284,0.12099029674327179,0.14756687417938993,0.45031921565532684,0.5496807845878157,0.3176223311425645,0.20730725993643273,0.25328501064703735,0.19130865721540016
5,0.0508394424037222,0.027743058438718944,0.028752395174398777,0.016288549340241057,0.03915052937608568,0.0035410897777386503,0.09588885778448075,0.022147470415192102,0.4939243495464325,0.504909098148346,0.4868280291557312,0.514338493347168,0.250724196434021,0.2485056072473526,0.24643665552139282,0.25433358550071716,0.1228220809277121,0.14693251438873076,0.4550987782178225,0.5449012201843839,0.3172543143336867,0.20751151998282036,0.2545558020715669,0.18990413980050522
6,0.04955067611918166,0.027482610904678944,0.029237472380583104,0.015207712903254098,0.03971561835970217,0.0035394489056770504,0.09563687794783754,0.022344754543291115,0.4968406558036804,0.5034509301185608,0.4951880872249603,0.5045202374458313,0.25038811564445496,0.2508375346660614,0.24958820641040802,0.24918635189533234,0.12168024951865623,0.14463959866157777,0.4566734684305591,0.5433265319515219,0.3178741646222857,0.20644834961542438,0.2545108183185051,0.18998641731317364
7,0.048998687982923915,0.027950725061189393,0.027954849029189988,0.01435699654549864,0.03959336997354989,0.003499547886796646,0.09477324483329576,0.02187835366754426,0.49509087204933167,0.5120054483413696,0.49023038148880005,0.5026732683181763,0.2502519190311432,0.2522369921207428,0.24920441210269928,0.24830640852451324,0.11920125206763094,0.1433036413156625,0.45399702481039755,0.5460029754327449,0.3165387445083865,0.20790483006265337,0.2546379155542328,0.1914620241432479
8,0.04796580738433591,0.027754372847646404,0.027655145414998552,0.01361523905936151,0.03822156140637217,0.003448465347112567,0.09243513607913029,0.022513711209151684,0.4945076107978821,0.5145328640937805,0.48809173703193665,0.5028676986694336,0.2494378536939621,0.2524568438529968,0.24902692437171936,0.2490784227848053,0.11743594904045959,0.14330680419132982,0.45040960436239663,0.5495903951165837,0.31652012054042106,0.20620535238535254,0.25439561456268206,0.1909268416099615
9,0.04756657321587865,0.027996338416533522,0.027557118527704115,0.012953347591075413,0.03771103578370004,0.0034840650558112802,0.09323127070255414,0.022904233686655263,0.5026732683181763,0.5117138028144836,0.4849810302257538,0.5006318688392639,0.2524246275424957,0.2508530020713806,0.24790914356708527,0.24881389737129211,0.11564702114268338,0.14242917066548533,0.4480390175656005,0.551960983059623,0.31638439998273804,0.20689156351910604,0.2533670699957645,0.1908493359814157
10,0.04624156875097321,0.027651142390848666,0.026891313711428767,0.012006305064788926,0.036911461302589425,0.0035258750759251307,0.09426881421848834,0.023260357489837617,0.4916885197162628,0.5181296467781067,0.483522891998291,0.5066588521003723,0.24855045974254608,0.2522399425506592,0.2475336492061615,0.2516758441925049,0.11527612880914362,0.14145545713551394,0.4489570582732732,0.5510429412057072,0.3154214299989469,0.20656315727910518,0.25120450914045034,0.18960311470470784
