epoch,loss,loss_main,loss_int,loss_grad,loss_branch,loss_route,mask_mean,mask_std,e_base_l1,cap_l1,vis_u_l1,ir_u_l1,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std,health
1,0.08075049629106242,0.024512920069138185,0.07308950066333916,0.04756103767169302,0.13675884531289875,0.0,0.6766545341438462,0.4599317647114235,0.05830003675811288,0.09157341146407848,0.050946887596515944,0.05068451335898512,0.1140831475607863,0.07944426187990504,0.5981402422915272,0.4018597577084728,0.31191889444390697,0.20732694830284829,0.25217598632854576,0.18930461997387646,OK
2,0.057160783560201975,0.027353183524001116,0.044377755217191554,0.024972480666429018,0.03973439233858331,0.0,0.678070800001023,0.45934770051457013,0.05860099417357599,0.11552383691644898,0.06529586858340815,0.0629149359591654,0.14396943141217708,0.10779333543949196,0.5716822887955307,0.42831771120446926,0.3141012162256355,0.2063981476916271,0.25296565938611276,0.18865495889770742,OK
3,0.054498246424839275,0.028218463994562626,0.042485036709461035,0.02164386211707741,0.038741672114163885,0.0,0.67968252179574,0.45937301130855784,0.05681581263478492,0.1098211189421142,0.06603001070623639,0.06191882383780462,0.14113020141120433,0.10336059347993615,0.577041882140582,0.42295811785941795,0.3118337353452199,0.2056300549500701,0.2512266770684991,0.18952148050821127,OK
4,0.0528204974003968,0.029399846531204782,0.04310793918305907,0.01872156772512097,0.03882892895825341,0.0,0.6799936778262025,0.45826047082909016,0.05501783612359758,0.10346720428491125,0.0663882240000106,0.06095307705854597,0.1363280742179875,0.09759428501486922,0.5826741519237624,0.4173258480762376,0.31153364329277966,0.20432318885679862,0.25620916224613627,0.1923437235074169,OK
5,0.05088319939126273,0.029971614584554822,0.042904852577546636,0.016240178510694266,0.03809211556973005,0.0,0.6749021696801089,0.4608731111701654,0.052461789932106435,0.098242514971353,0.06818995958402091,0.060077979521197575,0.13322563352239947,0.0935726542593766,0.587320805955477,0.412679194044523,0.31011231808888523,0.2052997910336,0.25236941120919343,0.18983150103620264,OK
6,0.04931289894173161,0.02980771485105658,0.042322042113055985,0.014884332044828249,0.03886476679428929,0.0,0.676895376478209,0.4600423276782179,0.04899878014608019,0.09388184237057993,0.06787156061429221,0.05771574654838904,0.1294429494338591,0.09223711250924549,0.5837519880818004,0.4162480119181996,0.31163227457960113,0.2068733966418532,0.25199302995190614,0.18957948673064826,OK
7,0.048499160686603975,0.03021334805710315,0.04276832148414843,0.013631597935531784,0.03773824943258625,0.0,0.6773496445129756,0.46030455341144483,0.046729178622919545,0.08977369521381189,0.06662705378765676,0.055671997976546386,0.12602581237616087,0.09045528416552034,0.5820027001622488,0.41799729983775125,0.3131118800316681,0.2062989982361553,0.2536822764330408,0.19112973328398056,OK
8,0.04841239206014382,0.030768307147263623,0.04366193236593081,0.012920871167918858,0.03570205001171683,0.0,0.6741583900434487,0.4607849700682733,0.04468135346545606,0.0863384159744716,0.06554410086065925,0.054370036283854534,0.12291462988663121,0.08882985556540655,0.5802826579449987,0.41971734205500133,0.31286803846742783,0.20508924783134805,0.25367129088736096,0.19127653790514867,OK
9,0.045746934155196775,0.02941928084018458,0.040814673929449534,0.01190350451791773,0.03426814616611954,0.0,0.6832917198485114,0.45745099567565595,0.04288862588829925,0.08336450163127423,0.06504027286515374,0.053522302282779585,0.12091302429856945,0.0867470754187505,0.5820785189877037,0.41792148101229626,0.3136664997307765,0.20522003241625725,0.25001966533791115,0.187756989464289,OK
10,0.04639433893416466,0.030122471113531602,0.041698680599169785,0.01176451835199958,0.033748144641661704,0.0,0.678381130081408,0.4579146347340702,0.04200204204665083,0.08073935977050237,0.06445091973994674,0.05281170858752255,0.11834256044205498,0.08585409641194315,0.579332597974111,0.4206674020258891,0.3121136676649801,0.20582937063718615,0.25132946958061025,0.19008824090604165,OK
