image_name,time_s,CE,NMI,QNCIE,TE,EI,Qy,Qcb,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM,VIFF,NIQE,BRISQUE,MUSIQ
00000.png,8.4814,0.683367908000946,0.2950392126272927,0.8681889717832301,6.877456188201904,58.23675537109375,0.8703707810061367,0.5224364473323921,7.179323196411133,2.0736559320007864,14.246354103088379,5.359017848968506,39.104164123535156,0.5417543053627014,1.6924329996109009,0.6508638858795166,0.0248576533049345,16.045398712158203,0.5439494212457783,0.03148688813499551,0.47038358449935913,0.4677177667617798,0.4184436069409345,5.009679636677827,36.23602294921875,54.951255798339844
00011.png,7.1861,0.6782681345939636,0.2930199354856594,0.8674618584054692,6.8714470863342285,57.96300506591797,0.8702312766438267,0.526642942918413,7.134373664855957,2.051997736124484,14.238147735595703,5.332304000854492,37.68489074707031,0.5365904569625854,1.7037644386291504,0.6441375017166138,0.024098308756947517,16.18013572692871,0.5411195479800927,0.032146987979955036,0.47342249751091003,0.4695269465446472,0.41223990322351395,5.012190825167778,36.17694091796875,52.794010162353516
00025.png,7.4614,0.6987332105636597,0.384093959836769,0.8744673757215603,6.504690647125244,40.739845275878906,0.8660847604067708,0.4849246146819693,7.012989044189453,2.5960365863747654,10.876636505126953,3.733888626098633,34.435550689697266,0.3993627727031708,1.7345333099365234,0.724533200263977,0.03559843450784683,14.485692024230957,0.5091084153616467,0.0355592532930968,0.4655682444572449,0.41257375478744507,0.4282032559071073,5.122392170038658,31.96405029296875,45.024444580078125
00031.png,7.4987,0.6925762891769409,0.3714956535027078,0.8742848866356491,6.752051830291748,41.842506408691406,0.8611000911110225,0.4861207427314389,7.010272026062012,2.5563285720165716,11.43443775177002,3.842355728149414,35.47118377685547,0.3978513479232788,1.745307445526123,0.6793043613433838,0.03623056784272194,14.409248352050781,0.506239421724985,0.03520126405938191,0.46616238355636597,0.3805031180381775,0.4066436579834165,5.116586218873373,30.15399169921875,46.592010498046875
00033.png,7.0342,0.679167628288269,0.28695635563276295,0.8673412771779524,6.872757434844971,56.49644088745117,0.8699778260847462,0.517454587469743,7.112668514251709,2.0066086766333306,14.107745170593262,5.1994948387146,36.71075439453125,0.539507269859314,1.7116246223449707,0.6299814581871033,0.023221461102366447,16.34110450744629,0.5333078566711076,0.03289587331469777,0.4769970178604126,0.46658819913864136,0.4002582390693423,4.974951594228404,34.91619873046875,51.20318603515625
00042.png,7.0671,0.6993128657341003,0.3804238014144605,0.8701279569291298,6.547218322753906,45.97011947631836,0.8516143639189064,0.4793009902391915,7.055450916290283,2.587396618796488,12.499287605285645,4.217068672180176,36.09452438354492,0.42538216710090637,1.6924307346343994,0.6600280404090881,0.03851224482059479,14.144011497497559,0.5192466531494869,0.03382924267737821,0.45819297432899475,0.2532588541507721,0.3944561676556403,4.954307159797733,32.53533935546875,46.29356002807617
00061.png,7.2318,0.6970667243003845,0.4150283089585384,0.8709240321515141,6.992110252380371,36.739097595214844,0.8849903386702068,0.4807901890534126,6.840854167938232,2.870543565656817,10.972708702087402,3.345128059387207,35.595489501953125,0.45413199067115784,1.7614128589630127,0.7348859310150146,0.03392781689763069,14.694441795349121,0.531295199514796,0.026833685510241602,0.4629282057285309,0.4451286196708679,0.45099783551425465,5.085534069103935,31.17547607421875,41.49005126953125
00071.png,7.404,0.7004356384277344,0.4330229944279042,0.8704452778568239,6.9162116050720215,34.593544006347656,0.8818587631350147,0.46804305075542096,6.810539245605469,2.9720071966568877,10.410560607910156,3.150200843811035,34.865196228027344,0.45679938793182373,1.7654863595962524,0.7413003444671631,0.03550092503428459,14.497603416442871,0.5385200462793892,0.022683997527916458,0.4538358449935913,0.4354317784309387,0.45636162178638695,5.1934618712189975,31.68426513671875,37.24336242675781
00082.png,7.1983,0.6834112405776978,0.25087208225330715,0.8690433457835507,6.835619926452637,47.721046447753906,0.8520819809731265,0.5073654121417975,7.022501468658447,1.738312410196352,11.084268569946289,4.302603721618652,33.47525405883789,0.5064904689788818,1.732170581817627,0.6599650979042053,0.03155427426099777,15.009418487548828,0.5016222012782785,0.044329084005155124,0.4731709063053131,0.45674726366996765,0.41090598421721514,5.149310772284534,33.35662841796875,44.01056671142578
00097.png,7.1951,0.6922496557235718,0.41933854681423643,0.8708744395211117,6.184726715087891,37.310089111328125,0.8728560369847467,0.5137804495499767,6.89564323425293,2.7425591485706775,9.637146949768066,3.353484630584717,32.131080627441406,0.4626586139202118,1.713118076324463,0.7378211617469788,0.041886106133461,13.779300689697266,0.5021395187618942,0.038690531650341316,0.47206079959869385,0.4543939232826233,0.4389740580726444,5.615351691477222,31.00408935546875,46.109901428222656
