epoch,loss,loss_main,loss_int,loss_grad,loss_branch,loss_route,g_mean,g_std,mask_mean,e_base_l1,res_vis,res_ir,cap_l1,vis_u_l1,ir_u_l1,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std,health
1,0.09509524697212039,0.02563371397510153,0.058476605131721295,0.04493823010890352,0.14674965758212044,0.3441629137973539,0.9384282573359926,0.003996574094977658,0.6793137188432884,0.06717811203768559,0.09932111701237693,0.001183659525155685,0.09701252081051316,0.056087344851331405,0.06439255930104328,0.100295061322705,0.10236697464830288,0.48463870629686123,0.5153612930233739,0.3115159237549371,0.20699025392711234,0.25212440815936477,0.18943736703992606,GATE_FLAT
2,0.06699079190831439,0.0265563194777499,0.033867302870585855,0.020664509332717573,0.041398737715984305,0.3193848995941312,0.9998581621970306,0.0003670547137960416,0.6806823626285842,0.069179664358121,0.13274617587961926,1.774138242590929e-05,0.12150393050758779,0.06323420776933038,0.07648960651219391,0.13276485766039317,0.1257422975703877,0.513472895769655,0.4865271043376762,0.31438027172028515,0.20746396401492345,0.2536317186892963,0.19029208282534243,"GATE_COLLAPSE,GATE_FLAT"
3,0.06499605361340928,0.02748881290596323,0.030387327144322705,0.017909654729193498,0.037888920638992005,0.323599273014684,0.9999345620425523,0.00021960481705968877,0.6764347937499203,0.06825165948769053,0.12925680258086605,8.098942013263246e-06,0.11820949910997915,0.06094930544137812,0.07599122977915074,0.12926520744399006,0.12406530968245624,0.5100943000018955,0.48990570017699003,0.31156627320441876,0.20589301808505786,0.25362558569870935,0.19094216791378493,"GATE_COLLAPSE,GATE_FLAT"
4,0.06267919504315127,0.027327552526106996,0.029197911790036567,0.015886136922104305,0.038432851037969826,0.32322770834756215,0.9999642350665089,0.00014575302742466628,0.676792511097094,0.06567602224495946,0.1253605669751173,4.295183108032037e-06,0.11398681063576191,0.05885763339349488,0.07572324335181556,0.12536502622363088,0.1203571260422647,0.5100902062790448,0.4899097934347384,0.31223090586899854,0.20731166763609055,0.2510654868162265,0.1880572346382353,"GATE_COLLAPSE,GATE_FLAT"
