epoch,loss,loss_contrastive,loss_feature,loss_sim
1,0.020928669661682633,1.5668165602002826,0.020766236649693123,0.002446082296225102
2,0.0032297363928851805,1.566902939251491,0.003087119309098593,0.0021158010912560193
3,0.0016328454558970406,1.5657705177579608,0.001357375562656671,0.004330203238808151
4,0.0012944579491990485,1.5655945253372192,0.0009913852813354294,0.004790278798567929
5,0.0012310799809139487,1.5655685237475805,0.0009125318107960213,0.005048208174827908
6,0.0011598640781760748,1.565611307621002,0.0008457687435605164,0.004973987180606595
7,0.0011133690744671704,1.565631549698966,0.0007854178798152134,0.0052049147450764265
8,0.0010988177891288484,1.5656113600730897,0.0007726050440188763,0.005175943958040859
9,0.0010651332790231598,1.5656314900943211,0.0007480513776785561,0.005023759887221136
10,0.0010801846251290823,1.5656129469190325,0.0007509641752611579,0.00522607217276735
11,0.0010194633901119232,1.5655684052194867,0.0006989194196648895,0.0050814715440252
12,0.0009865006567062145,1.565547709124429,0.0006677753834602689,0.005051163406710008
13,0.000941761246815856,1.5655016561916897,0.000626276771155452,0.004997157782282946
14,0.0009788598772969895,1.5654713569368635,0.0006529693724171791,0.0051705965960198745
15,0.0009723574796225876,1.5653946379252843,0.0006495820958766022,0.0051186906762554175
16,0.0009331813908647746,1.5653752490452357,0.0006226708417774976,0.004914280044447099
17,0.0009488031234026754,1.5654177577154977,0.0006358314337973882,0.004955291974890445
18,0.0009237539311704625,1.5653733396530152,0.0006116074233848069,0.004941546412051788
19,0.0009213108612623598,1.5654328182765416,0.0006079136065506776,0.004962382223956021
20,0.0009020497290683644,1.5654550300325667,0.0005860012510675006,0.005006565561385027
21,0.0009059590954400067,1.5654130438395908,0.0005897587881606471,0.005009103039878287
22,0.0008936800707098363,1.5653918974740164,0.0005831307218094091,0.004914923991475787
23,0.000918521967541892,1.565453233037676,0.0005982566853968559,0.005076845944526473
24,0.0008851470529251466,1.5653946689196996,0.0005746795679026815,0.004913559067395649
25,0.0008861872321826273,1.5653169219834464,0.000580252994550392,0.0048380179733171
26,0.000907490254404755,1.5653921522412981,0.0005856653321617549,0.005102850128563919
27,0.0009188805245295433,1.5654202103614807,0.0005938286939220104,0.005156627266800829
28,0.0009257697227544018,1.5653053654943194,0.0005993640432383732,0.005179210570640862
29,0.0008982679410837591,1.5653947234153747,0.0005759243575240751,0.00511149407996397
30,0.0009274445618835411,1.565342274733952,0.0006006010199364807,0.005186502163497997
31,0.0008600771229664263,1.565332156590053,0.0005515355582506995,0.004881470792128572
32,0.0008807288009224327,1.5653818573270526,0.000566410352974864,0.00497774389888426
33,0.0008590722750107359,1.5652774575778416,0.0005479067599350986,0.0049252124909045444
34,0.0009014487135157521,1.5653417679241726,0.000579596411802673,0.005103314810632063
35,0.0009174618002309996,1.5654584765434265,0.0005923296800132708,0.005157959028646084
36,0.0008693141691868991,1.5652470694269454,0.0005552163449257413,0.004974089336049344
37,0.0008837204184549461,1.5653123433249336,0.0005651476127760751,0.005048661488440952
38,0.0008781707714245256,1.5653363639967781,0.0005617606927989982,0.0050126120727509264
39,0.0009000726556821194,1.5653082854407174,0.0005783966090322272,0.005100382909211995
40,0.0008960377901842419,1.5653488271577018,0.0005778342578975883,0.005042500832184617
41,0.0008678731860709376,1.5653782108851841,0.0005554220261235189,0.004946623035107872
42,0.0008620765765330621,1.5652795696258546,0.00054545579956279,0.005016133166749828
43,0.0008868121776946023,1.5653293653896876,0.0005646851403538936,0.0051078958100905375
44,0.0008738204535828637,1.565359242643629,0.000558052103276298,0.0050019127822348046
45,0.0009113168599183804,1.5653197482654027,0.0005859238281846047,0.005162330696558846
46,0.000870652573731994,1.5652604426656451,0.0005560412197623269,0.004982645870519004
47,0.0008822356169860411,1.565273916380746,0.0005619133318084226,0.005077825866173953
48,0.0008895793621611249,1.5653644806998117,0.0005666188003877843,0.00512178209843114
49,0.0008638771188062881,1.5653461146354675,0.0005445215677277052,0.0050617016105180875
50,0.0008802648890663736,1.5653400264467512,0.000564322042191634,0.00500482429035141
