input,n_images,mAP50,mAP50-95,precision,recall,f1,AP50-95_person,AP50-95_car,AP50-95_bus,AP50-95_lamp,AP50-95_motorcycle,AP50-95_truck,eval_time_s
Abl_DualMoE_wo_Dual,2000,0.801097,0.515512,0.870444,0.736809,0.798071,0.441977,0.62748,0.661872,0.426065,0.332669,0.603012,12.34
Abl_DualMoE_wo_MoE,2000,0.802223,0.515802,0.873692,0.732798,0.797066,0.444947,0.628435,0.666701,0.421366,0.33518,0.598181,10.66
