image_name,time_s,CE,NMI,QNCIE,TE,EI,Qy,Qcb,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM,VIFF,NIQE,BRISQUE,MUSIQ
00000.png,4.3778,0.6633076071739197,0.31006720440434105,0.8748140138524132,7.248085975646973,47.44635009765625,0.8799310143109548,0.5788698673879361,6.808699131011963,2.1792787880850106,12.029842376708984,4.416785717010498,28.653491973876953,0.5629415512084961,1.9536150693893433,0.6473948955535889,0.01922360435128212,17.161651611328125,0.5923063161099388,0.008131829487750602,0.5036269426345825,0.49376827478408813,0.453254752504283,5.010949710770085,35.45184326171875,59.12269592285156
00011.png,4.3567,0.6610935926437378,0.31082942779396416,0.8744677270972494,7.218735694885254,47.210472106933594,0.8812712561703282,0.5747949709546704,6.787090301513672,2.1767163421728988,12.028268814086914,4.392477035522461,27.900053024291992,0.5570610761642456,1.9525357484817505,0.6433600187301636,0.018718142062425613,17.277372360229492,0.590138608722265,0.00846564406911655,0.5072731971740723,0.4977584481239319,0.4491906564743054,4.910089706575818,35.04217529296875,57.07102966308594
00025.png,4.3124,0.6784884333610535,0.3656847468379947,0.8786333508573796,6.938632965087891,32.36310577392578,0.8825873708464889,0.521030991567706,6.579052925109863,2.4716113272754185,9.144129753112793,2.9959475994110107,23.92867660522461,0.46781811118125916,1.9740550518035889,0.714964747428894,0.028325777500867844,15.478181838989258,0.5681421916509394,0.008045423596450572,0.5070867538452148,0.4902500510215759,0.4648826936651006,4.497110232242227,22.65350341796875,49.61774444580078
00031.png,4.3431,0.6743203401565552,0.34392981343327933,0.8781652329600829,7.160233020782471,33.13840866088867,0.8784745359882074,0.5201256902607951,6.602097034454346,2.366643056407691,9.491301536560059,3.074415922164917,24.63939094543457,0.46445322036743164,1.9751183986663818,0.6766083240509033,0.028630614280700684,15.431694030761719,0.5613437931862215,0.00836809631496959,0.5078293085098267,0.4668007791042328,0.4456183144247513,4.681639446632308,20.99969482421875,49.14289855957031
00033.png,4.3362,0.661410927772522,0.3006376907596505,0.8740989442371118,7.232327938079834,46.148223876953125,0.8845671482784798,0.5715507292868525,6.753103256225586,2.1022785763747205,11.932602882385254,4.295984268188477,27.268142700195312,0.5601062774658203,1.9523136615753174,0.6350590586662292,0.017993716523051262,17.44879150390625,0.5865298236050804,0.008498836224654777,0.511888325214386,0.4933202564716339,0.4401403174676895,4.986851482417409,33.69451904296875,54.320777893066406
00042.png,4.3164,0.6775726079940796,0.3632134067732155,0.8761768478457099,6.957333087921143,36.57733917236328,0.8704736122333891,0.5234469397932668,6.645341873168945,2.470342647048815,10.448641777038574,3.390824317932129,25.01902198791504,0.4948682188987732,1.9687771797180176,0.6691179275512695,0.030414363369345665,15.169212341308594,0.5736820135524016,0.008667677822891014,0.5001176595687866,0.4641508162021637,0.4439142641298166,4.511953679566123,23.57244873046875,50.745086669921875
00061.png,4.3316,0.6722558736801147,0.3978004043276388,0.8763816242412121,7.24942684173584,29.227645874023438,0.8888336100741914,0.5119423079522627,6.58354377746582,2.75138675220456,9.11233139038086,2.677913188934326,25.455589294433594,0.5095085501670837,1.9768903255462646,0.7160274982452393,0.0260320995002985,15.844907760620117,0.581395880776807,0.004888378215570862,0.5009400844573975,0.4872800409793854,0.478464322845265,4.577169853611694,20.20477294921875,48.11084747314453
00071.png,4.3827,0.674248218536377,0.4241893374628088,0.8759724705710339,7.170446395874023,27.539321899414062,0.8896755677986978,0.5079556544525424,6.556310176849365,2.9113783330378844,8.722526550292969,2.5232982635498047,25.137508392333984,0.5210784673690796,1.9778342247009277,0.7253954410552979,0.027342483401298523,15.631620407104492,0.5937764167227109,0.0046391287991799654,0.4915950894355774,0.47691965103149414,0.4878967558853635,4.783304331732883,19.26873779296875,47.05242156982422
00082.png,4.3746,0.6662817001342773,0.22476826468599673,0.8748871897566213,7.202995300292969,38.541236877441406,0.8627099307954272,0.5426968492567268,6.655134201049805,1.5574370030040114,9.148919105529785,3.5131053924560547,24.661893844604492,0.5395979881286621,1.9620476961135864,0.6611801981925964,0.02492315135896206,16.033971786499023,0.5314626771249964,0.013490158810200907,0.5169090032577515,0.4980977475643158,0.42730912539502514,5.430068127400873,28.61248779296875,44.87315368652344
00097.png,4.3189,0.6713771820068359,0.40864916583168837,0.8765412605124191,6.499905586242676,30.749311447143555,0.8608328721522438,0.5127463203913589,6.580472946166992,2.672648428869463,7.986384868621826,2.7852065563201904,23.516504287719727,0.5341426134109497,1.967045783996582,0.7646504640579224,0.03243264928460121,14.890176773071289,0.5486665228419385,0.010651168947354015,0.49792051315307617,0.5317522287368774,0.4796123996609384,5.488041476545497,23.74432373046875,50.3353271484375
00107.png,4.4228,0.6619583964347839,0.22812190959536327,0.8744648227351233,7.30680513381958,44.21651840209961,0.8796376491940251,0.575682506562179,6.700832366943359,1.5977280141281422,10.500043869018555,4.0342535972595215,25.730186462402344,0.5897579193115234,1.9517006874084473,0.6189978718757629,0.018647685647010803,17.293750762939453,0.5451946847718396,0.011414986344458007,0.5231993794441223,0.4924532175064087,0.42546619908315414,5.367910704513069,31.35467529296875,45.675506591796875
00112.png,4.2969,0.6691182851791382,0.3291022283450734,0.8781671337277287,6.879775524139404,39.546226501464844,0.8494690779304089,0.5349833183275148,6.8639068603515625,2.26154326500615,9.991499900817871,3.6233463287353516,29.936594009399414,0.6119452118873596,1.963683009147644,0.6495974063873291,0.03264232352375984,14.862189292907715,0.5469853112397121,0.008158833488328625,0.47794148325920105,0.4738144278526306,0.4489187519679253,5.246313242490715,33.77362060546875,45.31840515136719
00118.png,4.3859,0.6734176874160767,0.3136335032870044,0.8780778775990582,6.778679847717285,40.19611358642578,0.8518609350935736,0.5233012921204871,6.856412410736084,2.1382156703611717,10.461957931518555,3.68802809715271,30.651365280151367,0.549356997013092,1.968275547027588,0.6643904447555542,0.03329117223620415,14.776708602905273,0.5678397826175737,0.008744180024368869,0.4833369851112366,0.47438061237335205,0.4507037055992939,5.137203363062703,32.26971435546875,54.11430740356445
00147.png,4.3693,0.665013313293457,0.3734710598396586,0.878474134027869,6.99441385269165,36.97512435913086,0.8592614492397839,0.5198100584352519,6.8564066886901855,2.586445869946285,10.366435050964355,3.4226837158203125,31.107954025268555,0.6220502853393555,1.9651148319244385,0.7150835394859314,0.029932554811239243,15.23856258392334,0.5824701677710062,0.005451545910814282,0.4874498248100281,0.48117750883102417,0.4742593103515021,5.110705823801181,23.63494873046875,50.30464553833008
00149.png,4.4004,0.6471401453018188,0.33893240167491334,0.8794749235558049,7.089186191558838,41.749732971191406,0.858442982773294,0.5617654691727056,6.854316234588623,2.3629576241998826,10.662755966186523,3.92004656791687,33.346923828125,0.6341289281845093,1.961317539215088,0.6960152387619019,0.02147878333926201,16.679903030395508,0.5821951118891514,0.005594839222553157,0.49436330795288086,0.5079556703567505,0.4692760499233998,5.226376134764717,29.90789794921875,54.259185791015625
00150.png,4.4583,0.643686056137085,0.3282017640530297,0.8800637829017429,7.034274101257324,43.23369598388672,0.8547443520041531,0.5644577960775586,6.827617645263672,2.2747538171838197,10.941370010375977,4.086560249328613,32.024818420410156,0.6561368703842163,1.955635905265808,0.6929805278778076,0.021187135949730873,16.739276885986328,0.5864254912600221,0.005412871887416041,0.48885971307754517,0.5048410296440125,0.47075048862120594,5.326696145105095,29.75067138671875,52.08979797363281
00159.png,4.3929,0.6569103002548218,0.31978528946961804,0.8779059125331816,7.0666728019714355,37.83412170410156,0.8521122427569552,0.5567547630899077,6.713194847106934,2.203304505623356,9.478048324584961,3.545396566390991,29.458030700683594,0.5967682003974915,1.9631130695343018,0.6833968758583069,0.023311292752623558,16.324337005615234,0.551122789616136,0.007198347732830055,0.4940810799598694,0.5071520805358887,0.4608438571469155,5.5457330182112985,28.46063232421875,53.53999328613281
00177.png,4.3742,0.6541702151298523,0.29211090015710717,0.8827904933693466,7.191417217254639,44.863121032714844,0.8547007840459151,0.5654407029244197,6.894100189208984,2.0572711635877567,10.730486869812012,4.221632957458496,33.010860443115234,0.6855285167694092,1.9562227725982666,0.7200444936752319,0.023704374209046364,16.2517147064209,0.5997327932549065,0.005342686708079894,0.48203086853027344,0.5260000228881836,0.49649246985829687,5.420273072527599,32.11151123046875,53.80778884887695
00196.png,4.3619,0.6473133563995361,0.3678993368805521,0.8993203894517069,6.747763633728027,51.443111419677734,0.8353107099890581,0.582457177394934,7.043363094329834,2.536878551929478,12.024591445922852,4.709412574768066,36.801021575927734,0.7969849705696106,1.9303369522094727,0.6810994744300842,0.026334263384342194,15.794788360595703,0.5988510558707054,0.003819895541838071,0.46137535572052,0.47613435983657837,0.5029603754643971,4.907244194805891,46.09100341796875,40.110755920410156
00202.png,4.3702,0.6622622013092041,0.3777697146004378,0.8796417713142901,6.809930324554443,40.484554290771484,0.8398609961214185,0.5372637901723742,6.9225640296936035,2.5938661887044177,10.150876998901367,3.7491836547851562,30.784948348999023,0.649207353591919,1.9573521614074707,0.7504534125328064,0.03367108851671219,14.727429389953613,0.5788720189475038,0.005579697015221154,0.4813234806060791,0.49643364548683167,0.49942737161510514,5.314106817482138,32.81317138671875,42.64257049560547
00210.png,4.3777,0.6422301530838013,0.3145764580842827,0.8784781340899473,6.910912036895752,36.566219329833984,0.8321914742445076,0.5383872538394945,6.627082347869873,2.1293720139715475,9.407747268676758,3.4099910259246826,26.37888526916504,0.47120401263237,1.9701297283172607,0.7070417404174805,0.02790285460650921,15.543513298034668,0.5328277529610017,0.0076608883112211,0.4834384620189667,0.5049853324890137,0.4513462222325023,4.96758122909364,29.71258544921875,48.11161804199219
00215.png,4.3699,0.6478337049484253,0.32788792766789404,0.8770486322235441,6.861910820007324,37.78307342529297,0.8250981875823538,0.5375787689314669,6.803610801696777,2.2403848870166616,9.65929889678955,3.5215718746185303,29.63922691345215,0.5620558857917786,1.965545654296875,0.7074095606803894,0.030462024733424187,15.1624116897583,0.5416369800541908,0.0077440625745894415,0.4802561104297638,0.5045478940010071,0.44840062257730234,5.569575999434397,28.40545654296875,55.616355895996094
00232.png,4.3587,0.6620715856552124,0.3655148016208533,0.8790327522628444,6.872676849365234,35.855010986328125,0.8525308660396169,0.5484173131306065,6.876803398132324,2.512825219500833,9.01230239868164,3.339440107345581,30.89948844909668,0.6150310039520264,1.9624663591384888,0.7131773233413696,0.025615226477384567,15.915018081665039,0.550606448962399,0.008290087661692922,0.500995397567749,0.5348527431488037,0.45796937731667814,5.31503562320897,23.73553466796875,52.09929275512695
00242.png,4.3954,0.6644158363342285,0.3792319348674628,0.8776515956497772,7.052652359008789,29.8667049407959,0.8599565850841593,0.5288943822506273,6.769148826599121,2.620840342837665,8.127618789672852,2.7546184062957764,28.17169761657715,0.5278206467628479,1.9735076427459717,0.71031653881073,0.025844641029834747,15.87629508972168,0.520658996684805,0.00881926056822888,0.507250189781189,0.5084986090660095,0.4396043429827301,5.235649181210249,21.45965576171875,52.569488525390625
00255.png,4.3435,0.6601147055625916,0.4225422311799172,0.8791508493150176,6.205803394317627,21.698156356811523,0.9031801356855255,0.5725674973476871,5.910952568054199,2.5599258855783518,6.24579381942749,1.993268370628357,18.414182662963867,0.6740757822990417,1.9510231018066406,0.8193561434745789,0.015931978821754456,17.977304458618164,0.5064831342510971,0.006425076118279511,0.5379480719566345,0.5378348231315613,0.46233729892761244,5.037528310714632,19.53826904296875,49.24171447753906
00274.png,4.3499,0.6719874143600464,0.41802422029381703,0.8778062130263842,6.291131019592285,23.879676818847656,0.8945012962034063,0.564820298053858,6.087320327758789,2.587251568463934,6.525729656219482,2.1916704177856445,19.91815948486328,0.6514637470245361,1.9490821361541748,0.7913761138916016,0.01887507364153862,17.241113662719727,0.5116016724223942,0.007774308521685578,0.5298532843589783,0.5559664964675903,0.45781367301471426,5.087153743805179,21.89910888671875,44.54705047607422
00284.png,4.3491,0.645064115524292,0.43804873733412003,0.8776844060062944,6.335842609405518,23.469593048095703,0.8948986381716839,0.5579800180727759,6.128653049468994,2.7300340297373413,6.424529075622559,2.15618896484375,19.806447982788086,0.6470984816551208,1.9509491920471191,0.7870773077011108,0.01828758791089058,17.378435134887695,0.5033636011286493,0.007937178102638132,0.5353406667709351,0.5705884099006653,0.452472167815781,5.145061256022932,22.28240966796875,44.99688720703125
00290.png,4.4011,0.6280500292778015,0.41963848890053657,0.8764745172079196,6.37345027923584,23.526077270507812,0.8949087943631474,0.5643622345683363,6.151899337768555,2.6280652248660363,6.425754070281982,2.1608424186706543,19.679182052612305,0.625859797000885,1.9510011672973633,0.7950078248977661,0.018917066976428032,17.231462478637695,0.5082353853308168,0.0079256822816652,0.533449649810791,0.5659821629524231,0.45903015901777655,5.21563516522147,21.85858154296875,45.42042541503906
00306.png,4.3408,0.6323150396347046,0.42574348081336333,0.8764265636535028,6.295502185821533,23.723529815673828,0.8924500834271749,0.5646671840124973,6.124957084655762,2.6439704491356117,6.408721446990967,2.177450656890869,19.96712875366211,0.6186951994895935,1.9495580196380615,0.7982845306396484,0.02026512287557125,16.93250846862793,0.5059404443148695,0.008921846551411526,0.53098064661026,0.5697909593582153,0.4624282110159937,5.153662229970318,22.40155029296875,41.491172790527344
00320.png,4.3472,0.6320727467536926,0.40406920472157604,0.8757999120410821,6.474049091339111,28.25726318359375,0.8753026480488058,0.5677796363067387,6.318178176879883,2.584477993968054,7.604713439941406,2.611949920654297,21.370603561401367,0.6274474859237671,1.949276089668274,0.776719331741333,0.022188952192664146,16.538633346557617,0.5293211405149673,0.0073815806342617885,0.5085959434509277,0.5507359504699707,0.4699928237560138,4.7416372135467775,24.68768310546875,46.550804138183594
