epoch,loss,loss_main,loss_int,loss_grad,loss_branch,aux_loss,importance_loss,load_loss,hit_rate_0,hit_rate_1,hit_rate_2,hit_rate_3,importance_0,importance_1,importance_2,importance_3,e_vis,e_ir,p_vis,p_ir,y_vis_mean,y_vis_std,ir_mean,ir_std
1,0.09627861670908235,0.028900390503187927,0.15631700854520408,0.061312125561957885,0.22688641494848863,0.003797236367584109,0.10460959855827089,0.02196494953794626,0.4969460368156433,0.5012516379356384,0.5040552616119385,0.4977470934391022,0.24827571213245392,0.25042349100112915,0.253343790769577,0.24795706570148468,0.023800470922164627,0.04586969146455805,0.3524603953524655,0.6475396041108781,0.31174252143784875,0.20574805241565602,0.25148372727782786,0.18900711824591993
2,0.056090429431947766,0.026240100539630416,0.08775736779725853,0.02603763973145854,0.04294290178928341,0.003383260138148648,0.09189102718065602,0.020884313328121202,0.50635826587677,0.49494343996047974,0.4943426549434662,0.5043556690216064,0.25172123312950134,0.24803905189037323,0.24919387698173523,0.25104576349258423,0.06384525224924231,0.07789610991744148,0.4496194726350356,0.5503805269714163,0.3146078123264954,0.2067814421217267,0.2524574784671559,0.19047776832371627
3,0.04684148861669979,0.026736837122499905,0.07634332619544838,0.0161095630407718,0.03915797832946317,0.003603508599285016,0.0988606201277404,0.0212563356255502,0.49954941868782043,0.4996495544910431,0.5005507469177246,0.5002503395080566,0.2501307427883148,0.2480631172657013,0.2528845965862274,0.24892163276672363,0.06392064468771899,0.07612403550175201,0.45627934341671084,0.5437206561539639,0.3122557600219997,0.20682172287626713,0.25101806438055074,0.1886834365104427
4,0.043962684870302894,0.026649503234666545,0.07337363636275443,0.013372529828015352,0.03711643784406449,0.003569487320159429,0.09783599606293364,0.021146917243997955,0.5047562122344971,0.49464306235313416,0.5007509589195251,0.4998498260974884,0.25013405084609985,0.2475946992635727,0.25176185369491577,0.250509649515152,0.0637567174606392,0.07494291028126376,0.45956038276688393,0.5404396164460199,0.3121249077378773,0.20518339556806228,0.25076961481556886,0.1886600879024343
5,0.042657303329812095,0.026868573293796463,0.07032058378156064,0.011897999860932167,0.03645125968831212,0.0035262175414379738,0.09550373386904723,0.022036853371750417,0.5089616775512695,0.4918394088745117,0.4938420057296753,0.5053569674491882,0.2527581751346588,0.24590735137462616,0.2484303116798401,0.2529042065143585,0.06404423427914514,0.07473554874525494,0.4612940095123552,0.5387059903087593,0.31399201896010326,0.20603451858155009,0.25071692398759354,0.18936588152760073
6,0.04276309359599562,0.02770334843932992,0.0669161054458903,0.01122219342512547,0.0357898282779365,0.003479653554598886,0.0943569700729207,0.02163148410020157,0.5105637311935425,0.4907379746437073,0.5002503395080566,0.498447984457016,0.25217583775520325,0.24752190709114075,0.25113704800605774,0.24916516244411469,0.06322121074130269,0.07432131511287815,0.4594497340781634,0.5405502668520411,0.3144383356064594,0.20656058650199963,0.2490898872158822,0.1891574863733507
7,0.04137296946596305,0.02699055847022034,0.06583581044643867,0.010578384262365417,0.035428156696107924,0.003449745005343807,0.09354342432198755,0.02144807817412726,0.5064584016799927,0.4993491768836975,0.5018523931503296,0.4923400580883026,0.25140154361724854,0.25142788887023926,0.25046971440315247,0.24670076370239258,0.0627605835376095,0.07435424684011349,0.4575719204412646,0.5424280791294103,0.3112121089881494,0.20644826583322787,0.2515343642946766,0.1904152642045559
8,0.04191465743136506,0.027953613749040023,0.06467897467324141,0.010189042995166198,0.035132334984633244,0.003420677298540473,0.09236191660194436,0.021660662307471063,0.5108641386032104,0.49584460258483887,0.4972464442253113,0.4960448741912842,0.2521948218345642,0.24938981235027313,0.2504085600376129,0.248006671667099,0.06309444976060473,0.07524763444820945,0.45595491748182426,0.5440450824466215,0.31325284598254355,0.20477166928413534,0.2518577418264364,0.18960006701416757
9,0.040344351410669006,0.026775499363066484,0.06405459788693886,0.009743003984678443,0.03435379844986233,0.0034823101007085827,0.09336905351237339,0.02270795232524127,0.5117653012275696,0.4959447383880615,0.49954941868782043,0.49274057149887085,0.2524559795856476,0.2504209876060486,0.25015318393707275,0.24696952104568481,0.0624086143715041,0.07558540581297331,0.45216928570925974,0.547830713825638,0.31364725760909834,0.20682676441493442,0.2525879597606636,0.18991617160756477
10,0.041230615986441795,0.02788559383391833,0.06338427273728767,0.00953279941209725,0.03396589975101965,0.0034725637334672285,0.0950105781787822,0.020741548522242477,0.5107640027999878,0.4914388954639435,0.49664565920829773,0.5011515021324158,0.25164976716041565,0.24867850542068481,0.24958491325378418,0.25008702278137207,0.06375699933944773,0.07745897144723196,0.4513609865490271,0.5486390133436416,0.3106902283029396,0.2065600801845129,0.25103948237586854,0.18956072370008548
11,0.041039353928619286,0.027676017607236897,0.06399526532922759,0.009581049856990308,0.03409387308115862,0.003441347655113356,0.09127522525654984,0.02343636548587111,0.5087614059448242,0.49003705382347107,0.4994492828845978,0.5017523169517517,0.251580148935318,0.24707649648189545,0.25072380900382996,0.25061941146850586,0.06426319006790204,0.07913270397704332,0.4480980357416824,0.5519019643656489,0.3137486538752502,0.20790365389307866,0.2537334713758398,0.1899728932085873
12,0.04113779647671589,0.027833079336723146,0.06289484495205395,0.009334703258351654,0.03358624724610871,0.0036341513407213717,0.09884309194077003,0.022295288577097797,0.5129668712615967,0.4892360270023346,0.49974969029426575,0.49804747104644775,0.25230222940444946,0.24782073497772217,0.2500995397567749,0.24977760016918182,0.06573803294874897,0.08168111201308641,0.44584119946014983,0.5541588002178564,0.31317137110204685,0.20650527986730274,0.25126106955674515,0.18933969938239845
13,0.040600644554249665,0.027615982669071348,0.06136097142300686,0.009208576933739065,0.03335521509479575,0.003442532713913514,0.0917930414958601,0.022958051425037013,0.5074597001075745,0.4916391372680664,0.5038550496101379,0.49704617261886597,0.250890851020813,0.24878588318824768,0.2518369257450104,0.24848641455173492,0.06763353326669833,0.08468125735511299,0.44392385585110583,0.5560761441846712,0.3108767046719467,0.2055145455222456,0.25326917940328103,0.1892861255040976
14,0.039757734164595604,0.027189312172921695,0.06248214192652688,0.008813951877230893,0.03243530627076222,0.003430116964218465,0.09022872805039037,0.024108506598686498,0.5095624327659607,0.49424251914024353,0.4991489052772522,0.49704617261886597,0.2511371672153473,0.250705748796463,0.25014016032218933,0.24801675975322723,0.06801483469779322,0.08567852353384228,0.44244019485035146,0.5575598040405585,0.3127823518533237,0.20682762369137853,0.2539178901502923,0.1903431940318442
15,0.040484476452167864,0.027918398994080374,0.061392549049704016,0.008924616109423278,0.03229547479600251,0.0033185065623227727,0.08703567307232236,0.02358121474442326,0.511364758014679,0.49464306235313416,0.4955442249774933,0.498447984457016,0.2528117299079895,0.24978160858154297,0.24790360033512115,0.24950316548347473,0.06848151915195752,0.08704769945874506,0.44024982286386843,0.559750176921469,0.31270855466644015,0.20662732450973514,0.2519830389916539,0.1918557742331065
