image_name,time_s,CE,NMI,QNCIE,TE,EI,Qy,Qcb,EN,MI,SF,AG,SD,CC,SCD,VIF,MSE,PSNR,Qabf,Nabf,SSIM,MS_SSIM,VIFF,NIQE,BRISQUE,MUSIQ
00000.png,7.3872,0.6837421655654907,0.4696367330624235,0.8654196870066813,7.114531993865967,63.232765197753906,0.9702157169110501,0.6098425625488695,6.94224739074707,3.3007985234511725,17.80137825012207,5.914374351501465,32.37839126586914,0.5306280255317688,1.6398682594299316,0.9904519319534302,0.029026545584201813,15.372047424316406,0.7427113215308079,0.031998563767770265,0.47956421971321106,0.44475847482681274,0.7814668261551905,4.092473670334547,31.91522216796875,64.10079193115234
00011.png,7.2537,0.682346522808075,0.4527328138056263,0.8672144235289349,7.120502948760986,62.78481674194336,0.9691579449974643,0.6129899283638522,6.885317802429199,3.1704556465028606,17.758121490478516,5.87530517578125,31.688262939453125,0.518142580986023,1.6304256916046143,0.9805971384048462,0.028326522558927536,15.478067398071289,0.7390058972826204,0.03260244707562685,0.48133328557014465,0.44739988446235657,0.7719990584175296,4.051679947397966,31.45819091796875,62.493614196777344
00025.png,6.8412,0.7100062370300293,0.3959780793966221,0.8655721628244363,7.038666248321533,42.266075134277344,0.9603298550362087,0.4971599344502149,6.4790143966674805,2.6763596645802696,13.292093276977539,3.910670280456543,24.857215881347656,0.44505536556243896,1.6665334701538086,0.9678468108177185,0.04290342330932617,13.675080299377441,0.6983878390752412,0.029757319034365647,0.45994138717651367,0.3937709927558899,0.7029094946395736,3.9770331273491557,19.74237060546875,53.252586364746094
00031.png,6.8579,0.7073895335197449,0.41530210733500705,0.8661515485030944,7.1339006423950195,43.25635528564453,0.9616092620400215,0.4953718775635321,6.628422737121582,2.8577686790928585,13.80360221862793,4.011913299560547,27.67429542541504,0.4364829659461975,1.6746065616607666,0.9511022567749023,0.04318651929497719,13.646517753601074,0.6958633102963672,0.031382380649686376,0.466516375541687,0.38398849964141846,0.6950321317252643,3.939779489753849,17.35516357421875,52.457176208496094
00033.png,7.0417,0.6814782619476318,0.4452862839763579,0.8678417098398887,7.0916748046875,61.07587432861328,0.9683675717837744,0.5963983065575333,6.8937506675720215,3.1137673150416774,17.645978927612305,5.716405868530273,31.763797760009766,0.5123575925827026,1.618894100189209,0.9672374725341797,0.027157148346304893,15.661158561706543,0.7333925614605209,0.03274137557362271,0.4839629828929901,0.44609618186950684,0.7558128980327975,3.9506770477001014,29.28826904296875,60.52047348022461
00042.png,7.0683,0.7088214755058289,0.4196163113612238,0.8653783467500156,7.0843000411987305,47.744956970214844,0.9626057665765294,0.5003282248503631,6.518370151519775,2.8539587196465437,15.148380279541016,4.416964530944824,26.53575325012207,0.44192054867744446,1.6602578163146973,0.9536147713661194,0.046032246202230453,13.369378089904785,0.7083391636594574,0.030588397991321334,0.46388497948646545,0.3043767809867859,0.7131606965865591,4.061613030090968,20.28436279296875,53.72939682006836
00061.png,7.3926,0.6996545791625977,0.45379454808183484,0.8708740557015124,7.277668476104736,39.40060043334961,0.9700136730222569,0.4851020421491996,6.555295944213867,3.1386702834687554,13.584451675415039,3.6073176860809326,29.751855850219727,0.4716828167438507,1.700695514678955,0.9870988726615906,0.03880365192890167,14.111274719238281,0.720627021674883,0.02355449394791955,0.4670034945011139,0.4337385594844818,0.7488150221619055,4.009185696717672,17.97430419921875,48.60972213745117
00071.png,7.3047,0.7008454203605652,0.4863416067327026,0.8735590027967195,7.212916851043701,37.2861328125,0.9715232156210658,0.4763985692932504,6.513833522796631,3.337953812713561,13.095136642456055,3.414257049560547,29.711576461791992,0.47438332438468933,1.7073984146118164,0.9995492100715637,0.04100172594189644,13.871978759765625,0.7321420043644993,0.019223661077330093,0.4577212333679199,0.40883299708366394,0.7611896227839776,4.242315350424784,17.22235107421875,47.98686981201172
00082.png,7.1347,0.6999348402023315,0.3727568062130108,0.8701368468045829,7.0988664627075195,47.52824020385742,0.9637134301814646,0.5407134355888009,6.7592549324035645,2.5828612590339013,12.953136444091797,4.368704795837402,27.759559631347656,0.4598235785961151,1.6002185344696045,0.9774321913719177,0.03836674615740776,14.16045093536377,0.6818744324128715,0.03930863719128462,0.48433366417884827,0.43706557154655457,0.7234702741786913,4.275705147067813,29.22625732421875,44.00132369995117
00097.png,7.563,0.7007071375846863,0.3960016258654018,0.8711634864847211,6.932436466217041,37.5973014831543,0.9626386959932756,0.47624169113752496,6.14793586730957,2.5899309522507004,11.143217086791992,3.414336681365967,21.731304168701172,0.4639137089252472,1.716437578201294,1.041853427886963,0.04857746511697769,13.135651588439941,0.6831416671180081,0.034262848203766814,0.44795575737953186,0.4151696264743805,0.7374213050851417,4.400995122236355,23.00750732421875,57.751251220703125
